"adsh","cik_id","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein_id","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","edgar_year"
"0001041061-10-000023",1041061,"YUM BRANDS INC",5812,"US","KY","LOUISVILLE","40213","1441 GARDINER LANE","","5028748300","US","KY","LOUISVILLE","40213","1900 COLONEL SANDERS LANE","","US","NC",133951308,"TRICON GLOBAL RESTAURANTS INC",19970627,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100421,"2010-04-21 17:21:00.0",0,0,"yum",1,"","2010Q2"
"0001193125-10-088623",12927,"BOEING CO",3721,"US","WA","SEATTLE","98124","P O BOX 3707 MS 1F 31","","2066552121","US","IL","CHICAGO","60606","100 N RIVERSIDE PLZ","","US","DE",910425694,"BOEING AIRPLANE CO",19730725,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100421,"2010-04-21 12:36:00.0",0,0,"ba",1,"","2010Q2"
"0001193125-10-088874",936468,"LOCKHEED MARTIN CORP",3760,"US","MD","BETHESDA","20817","6801 ROCKLEDGE DR","","3018976000","US","MD","BETHESDA","20817","6801 ROCKLEDGE DRIVE","","US","MD",521893632,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100421,"2010-04-21 15:54:00.0",0,0,"lmt",1,"","2010Q2"
"0001193125-10-088957",320193,"APPLE INC",3571,"US","CA","CUPERTINO","95014","1 INFINITE LOOP","","4089961010","US","CA","CUPERTINO","95014","ONE INFINITE LOOP","","US","CA",942404110,"APPLE COMPUTER INC",19970808,"1-LAF",0,930,"10-Q",20100331,2010,"Q2",20100421,"2010-04-21 16:39:00.0",0,0,"aapl",1,"","2010Q2"
"0000045012-10-000170",45012,"HALLIBURTON CO",1389,"US","TX","HOUSTON","77032","3000 NORTH SAM HOUSTON PARKWAY EAST","3000 NORTH SAM HOUSTON PARKWAY EAST","2818712699","US","TX","HOUSTON","77032","3000 NORTH SAM HOUSTON PARKWAY EAST","3000 NORTH SAM HOUSTON PARKWAY EAST","US","DE",752677995,"HALLIBURTON OIL WELL CEMENTING CO",19660911,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-22 11:39:00.0",0,0,"hal",1,"","2010Q2"
"0000314808-10-000055",314808,"ENSCO PLC",1381,"GB","","LONDON","W1J5BQ","6 CHESTERFIELD GARDENS","","4402076594660","GB","","LONDON","W1J5BQ","6 CHESTERFIELD GARDENS","","","",980635229,"ENSCO INTERNATIONAL PLC",20091223,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-22 14:52:00.0",0,0,"esv",1,"","2010Q2"
"0000950123-10-037065",42542,"GOODRICH CORP",3760,"US","NC","CHARLOTTE","28217","4 COLISEUM CENTRE","2730 WEST TYVOLA ROAD","7044237000","US","NC","CHARLOTTE","28217","4 COLISEUM CENTRE","2730 WEST TYVOLA RD","US","NY",340252680,"GOODRICH B F CO",19920703,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-22 12:56:00.0",0,0,"gr",1,"","2010Q2"
"0001193125-10-089057",313616,"DANAHER CORP /DE/",3823,"US","DC","WASHINGTON","20006","2099 PENNSYLVANIA AVE N.W., 12TH FLOOR","","2028280850","US","DC","WASHINGTON","20006","2099 PENNSYLVANIA AVE. N.W., 12TH FLOOR","","US","DE",591995548,"DMG INC",19850221,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-21 17:44:00.0",0,0,"dhr",1,"","2010Q2"
"0001193125-10-089671",1047122,"RAYTHEON CO/",3812,"US","MA","WALTHAM","02451-1449","870 WINTER STREET","","781-522-3031","US","MA","WALTHAM","02451-1449","870 WINTER STREET","","US","DE",951778500,"HE HOLDINGS INC",19971001,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-22 10:38:00.0",0,0,"rtn",1,"","2010Q2"
"0001193125-10-089763",90185,"SIGMA ALDRICH CORP",5160,"US","MO","ST LOUIS","63103","3050 SPRUCE ST","","3147715765","US","MO","ST LOUIS","63103","3050 SPRUCE STREET","","US","DE",431050617,"SIGMA INTERNATIONAL LTD",19750925,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-22 12:38:00.0",0,0,"sial",1,"","2010Q2"
"0001193125-10-090116",789019,"MICROSOFT CORP",7372,"US","WA","REDMOND","98052-6399","ONE MICROSOFT WAY","","425-882-8080","US","WA","REDMOND","98052-6399","ONE MICROSOFT WAY","","US","WA",911144442,"",NA,"1-LAF",0,630,"10-Q",20100331,2010,"Q3",20100422,"2010-04-22 16:19:00.0",0,0,"msft",1,"","2010Q2"
"0001193125-10-090165",4281,"ALCOA INC",3350,"US","PA","PITTSBURGH","15212-5858","201 ISABELLA ST","ALCOA CORPORATE CTR","4125532576","US","PA","PITTSBURGH","15212-5858","801 ISABELLA ST","ALCOA CORPORATE CTR","US","PA",250317820,"ALUMINUM CO OF AMERICA",19920703,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100422,"2010-04-22 16:46:00.0",0,0,"aa",1,"","2010Q2"
"0000891092-10-001599",29989,"OMNICOM GROUP INC",7311,"US","NY","NEW YORK","10022","437 MADISON AVE","","2124153700","US","NY","NEW YORK","10022","437 MADISON AVE","","US","NY",131514814,"DOYLE DANE BERNBACH GROUP INC",19861117,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-22 19:03:00.0",0,0,"omc",1,"","2010Q2"
"0000930413-10-002069",773840,"HONEYWELL INTERNATIONAL INC",3714,"US","NJ","MORRISTOWN","07962","101 COLUMBIA RD","PO BOX 4000","9734552000","US","NJ","MORRISTOWN","07962","101 COLUMBIA RD P O BOX 4000","101 COLUMBIA RD P O BOX 4000","US","DE",222640650,"ALLIEDSIGNAL INC",19940929,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 14:08:00.0",0,0,"hon",1,"","2010Q2"
"0000950123-10-037389",29905,"DOVER CORP",3530,"US","NY","NEW YORK","10017","280 PARK AVE","38-W","2129221640","","","","","","","US","DE",530257888,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 07:18:00.0",0,0,"dov",1,"","2010Q2"
"0000950123-10-037519",1113169,"PRICE T ROWE GROUP INC",6200,"US","MD","BALTIMORE","21289-0320","100 EAST PRATT STREET","P.O. BOX 89000","4103452000","US","MD","BALTIMORE","21289-0320","100 EAST PRATT STREET","P.O. BOX 89000","US","MD",522264646,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 12:55:00.0",0,1,"trow",1,"","2010Q2"
"0001104659-10-021430",883984,"ICU MEDICAL INC/DE",3841,"US","CA","SAN CLEMENTE","92763","951 CALLE AMANECER","","949-366-2183","US","CA","SAN CLEMENTE","92763","951 CALLE AMANECER","","US","DE",330022692,"",NA,"2-ACC",0,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 11:56:00.0",0,0,"icui",1,"","2010Q2"
"0001104659-10-021504",86312,"TRAVELERS COMPANIES, INC.",6331,"US","MN","SAINT PAUL","55102","385 WASHINGTON ST","","6513107911","US","MN","ST. PAUL","55102","385 WASHINGTON STREET","","US","MN",410518860,"ST PAUL TRAVELERS COMPANIES INC",20040401,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 15:22:00.0",0,0,"trv",1,"","2010Q2"
"0001144204-10-021931",1137411,"ROCKWELL COLLINS INC",3728,"US","IA","CEDAR RAPIDS","52498","400 COLLINS ROAD NE","","3192951000","","","","","","","US","DE",522314475,"",NA,"1-LAF",0,930,"10-Q",20100331,2010,"Q2",20100423,"2010-04-23 15:22:00.0",0,0,"col",1,"","2010Q2"
"0001193125-10-090367",1018724,"AMAZON COM INC",5961,"US","WA","SEATTLE","98144","1200 12TH AVENUE S SUITE 1200","","2062661000","US","WA","SEATTLE","98144","1200 12TH AVENUE S SUITE 1200","","US","DE",911646860,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-22 18:55:00.0",0,0,"amzn",1,"","2010Q2"
"0001193125-10-090778",77476,"PEPSICO INC",2080,"US","NY","PURCHASE","10577","700 ANDERSON HILL RD","","9142532000","US","NY","PURCHASE","10577-1444","700 ANDERSON HILL ROAD","","US","NC",131584302,"PEPSI COLA CO",19700903,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 07:46:00.0",0,0,"pep",1,"","2010Q2"
"0001193125-10-091169",1048286,"MARRIOTT INTERNATIONAL INC /MD/",7011,"US","MD","BETHESDA","20817","10400 FERNWOOD ROAD","","3013803000","US","MD","BETHESDA","20817","10400 FERNWOOD ROAD","","US","DE",522055918,"NEW MARRIOTT MI INC",19971023,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 11:33:00.0",1,0,"mar",1,"","2010Q2"
"0001193125-10-091626",1109357,"EXELON CORP",4931,"US","IL","CHICAGO","60680-5398","PO BOX 805398","","3123947399","US","IL","CHICAGO","60680-5398","PO BOX 805398","","US","PA",232990190,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 15:22:00.0",0,1,"exc",4,"1168165 78100 22606","2010Q2"
"0001193125-10-091753",100885,"UNION PACIFIC CORP",4011,"US","NE","OMAHA","68179","1400 DOUGLAS STREET","STOP 0310","402 544 5214","US","NE","OMAHA","68179","1400 DOUGLAS STREET","STOP 0310","US","UT",132626465,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100423,"2010-04-23 16:21:00.0",0,0,"unp",1,"","2010Q2"
"0000092380-10-000032",92380,"SOUTHWEST AIRLINES CO",4512,"US","TX","DALLAS","75235","2702 LOVE FIELD DR","P O BOX 36611","2147924000","US","TX","DALLAS","75235-1611","PO BOX 36611","","US","TX",741563240,"AIR SOUTHWEST CO",19760108,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-23 21:10:00.0",0,0,"luv",1,"","2010Q2"
"0000915389-10-000038",915389,"EASTMAN CHEMICAL CO",2821,"US","TN","KINGSPORT","37660","PO BOX 511","200 SOUTH WILCOX DRIVE","4232292000","US","TN","KINGSPORT","37662","P O BOX BOX 511 B-54D","","US","DE",621539359,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 17:31:00.0",0,0,"emn",1,"","2010Q2"
"0000918160-10-000024",918160,"AK STEEL HOLDING CORP",3312,"US","OH","WEST CHESTER","45069","9227 CENTRE POINTE DRIVE","","5134255000","US","OH","WEST CHESTER","45069","9227 CENTRE POINTE DRIVE","","US","DE",311401455,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 16:17:00.0",0,0,"aks",1,"","2010Q2"
"0000930413-10-002125",1022079,"QUEST DIAGNOSTICS INC",8071,"US","NJ","MADISON","07940","3 GIRALDA FARMS","","9735202700","US","NJ","MADISON","07940","3 GIRALDA FARMS","","US","DE",161387862,"CORNING CLINICAL LABORATORIES INC",19960903,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 16:18:00.0",0,0,"dgx",1,"","2010Q2"
"0000950123-10-037777",95521,"SUPERVALU INC",5411,"US","MN","EDEN PRAIRIE","55344","11840 VALLEY VIEW RD","","9528284000","US","MN","EDEN PRAIRIE","55344","11840 VALLEY VIEW ROAD","","US","DE",410617000,"SUPER VALU STORES INC",19920703,"1-LAF",1,228,"10-K",20100228,2009,"FY",20100426,"2010-04-23 18:25:00.0",0,0,"svu",1,"","2010Q2"
"0000950123-10-037984",2969,"AIR PRODUCTS & CHEMICALS INC /DE/",2810,"US","PA","ALLENTOWN","18195-1501","7201 HAMILTON BLVD","","6104814911","US","PA","ALLENTOWN","18195-1501","7201 HAMILTON BLVD","","US","DE",231274455,"",NA,"1-LAF",1,930,"10-Q",20100331,2010,"Q2",20100426,"2010-04-26 09:39:00.0",0,0,"apd",1,"","2010Q2"
"0000950123-10-038184",768251,"ALTERA CORP",3674,"US","CA","SAN JOSE","95134","101 INNOVATION DR","","408.544.8790","US","CA","SAN JOSE","95134","101 INNOVATION DR","","US","DE",770016691,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 15:17:00.0",0,0,"altr",1,"","2010Q2"
"0001193125-10-092555",101829,"UNITED TECHNOLOGIES CORP /DE/",3724,"US","CT","HARTFORD","06101","UNITED TECHNOLOGIES BLDG","ONE FINANCIAL PLZ","8607287000","","","","","","","US","DE",60570975,"UNITED TECHNOLOGIES MICROELECTRONICS CENTER",19850825,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 06:47:00.0",0,0,"utx",1,"","2010Q2"
"0001193125-10-093068",79879,"PPG INDUSTRIES INC",2851,"US","PA","PITTSBURGH","15272","ONE PPG PL 40 EAST","","4124343131","US","PA","PITTSBURGH","15272","ONE PPG PL 40 EAST","","US","PA",250730780,"PITTSBURGH PLATE GLASS CO",19681219,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 14:05:00.0",0,0,"ppg",1,"","2010Q2"
"0001193125-10-093422",9892,"BARD C R INC /NJ/",3841,"US","NJ","MURRAY HILL","07974","730 CENTRAL AVE","","9082778000","US","NJ","MURRAY HILL","07974","730 CENTRAL AVENUE","","US","NJ",221454160,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100426,"2010-04-26 16:56:00.0",0,0,"bcr",1,"","2010Q2"
"0000950123-10-038469",1164727,"NEWMONT MINING CORP /DE/",1040,"US","CO","GREENWOOD VILLAGE","80111","6363 SOUTH FIDDLERS GREEN CIRCLE","","303-863-7414","US","CO","GREENWOOD VILLAGE","80111","6363 SOUTH FIDDLERS GREEN CIRCLE","","US","DE",841611629,"DELTA HOLDCO CORP",20020109,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 06:04:00.0",0,0,"nem",1,"","2010Q2"
"0000950123-10-038647",54480,"KANSAS CITY SOUTHERN",4011,"US","MO","KANSAS CITY","64105","427 W 12TH STREET","","8169831303","US","MO","KANSAS CITY","64121","PO BOX 219335","","US","DE",440663509,"KANSAS CITY SOUTHERN INDUSTRIES INC",19920703,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 12:08:00.0",0,0,"ksu",1,"","2010Q2"
"0000950123-10-038898",949039,"DIAMOND OFFSHORE DRILLING INC",1381,"US","TX","HOUSTON","77094","15415 KATY FREEWAY","","7134925300","US","TX","HOUSTON","77094","15415 KATY FREEWAY","","US","DE",760321760,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 17:16:00.0",0,0,"do",1,"","2010Q2"
"0000950123-10-038903",1054374,"BROADCOM CORP",3674,"US","CA","IRVINE","92617-3038","5300 CALIFORNIA AVENUE","","949 926 5000","US","CA","IRVINE","92617-3038","5300 CALIFORNIA AVENUE","","US","CA",330480482,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 17:18:00.0",0,0,"brcm",1,"","2010Q2"
"0000950123-10-038910",1306830,"CELANESE CORP",2820,"US","TX","DALLAS","75234","1601 W. LBJ FREEWAY","","972-443-4000","US","TX","DALLAS","75234","1601 W. LBJ FREEWAY","","US","DE",980420726,"BLACKSTONE CRYSTAL HOLDINGS CAPITAL PARTNERS (CAYMAN) IV LTD.",20041022,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 17:20:00.0",0,0,"ce",1,"","2010Q2"
"0001004155-10-000033",1004155,"AGL RESOURCES INC",4924,"US","GA","ATLANTA","30309","TEN PEACHTREE PLACE","","4045844000","US","GA","ATLANTA","30309","TEN PEACHTREE PLACE","DEPT. 1109","US","GA",582210952,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 08:28:00.0",0,0,"agl",1,"","2010Q2"
"0001047469-10-004246",833444,"TYCO INTERNATIONAL LTD",7380,"CH","","SCHAFFHAUSEN","CH-8200","FREIER PLATZ 10","","609-720-4200","US","NJ","PRINCETON","08540","C/O TYCO INTERNATIONAL MANAGEMENT CO","9 ROSZEL ROAD","CH","",0,"TYCO INTERNATIONAL LTD /BER/",19970715,"1-LAF",0,930,"10-Q",20100331,2010,"Q2",20100427,"2010-04-27 13:56:00.0",0,0,"tyc",1,"","2010Q2"
"0001104659-10-021966",765880,"HCP, INC.",6798,"US","CA","LONG BEACH","90806","3760 KILROY AIRPORT WAY","SUITE 300","562-733-5100","US","CA","LONG BEACH","90806","3760 KILROY AIRPORT WAY","SUITE 300","US","MD",330091377,"HEALTH CARE PROPERTY INVESTORS INC",19920703,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 08:36:00.0",0,0,"hcp",1,"","2010Q2"
"0001104659-10-022064",51143,"INTERNATIONAL BUSINESS MACHINES CORP",3570,"US","NY","ARMONK","10504","1 NEW ORCHARD ROAD","","9144991900","US","NY","ARMONK","10504","1 NEW ORCHARD RD","","US","NY",130871985,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 14:01:00.0",0,0,"ibm",1,"","2010Q2"
"0001104659-10-022084",30554,"DUPONT E I DE NEMOURS & CO",2820,"US","DE","WILMINGTON","19898","1007 MARKET ST","","3027741000","US","DE","WILMINGTON","19898","1007 MARKET ST","","US","DE",510014090,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 14:36:00.0",0,0,"dd",1,"","2010Q2"
"0001104659-10-022152",886158,"BED BATH & BEYOND INC",5700,"US","NJ","UNION","07083","650 LIBERTY AVENUE","","2013791520","US","NJ","SPRINGFIELD","07081","715 MORRIS AVENUE","","US","NY",112250488,"",NA,"1-LAF",1,228,"10-K",20100228,2009,"FY",20100427,"2010-04-27 17:15:00.0",0,0,"bbby",1,"","2010Q2"
"0001193125-10-094663",49071,"HUMANA INC",6324,"US","KY","LOUISVILLE","40202","500 W MAIN ST","","5025801000","US","KY","LOUISVILLE","40202","500 W. MAIN ST","","US","DE",610647538,"EXTENDICARE INC",19740404,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 14:31:00.0",0,0,"hum",1,"","2010Q2"
"0001193125-10-094744",1163302,"UNITED STATES STEEL CORP",3312,"US","PA","PITTSBURGH","15219-2800","600 GRANT ST","ROOM 1500","415 433 2967","US","","PITTSBURGH","15219-2800","600 GRANT STREET","","US","DE",251897152,"UNITED STATES STEEL LLC",20011205,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 15:18:00.0",0,0,"x",1,"","2010Q2"
"0001193125-10-094840",815556,"FASTENAL CO",5200,"US","MN","WINONA","55987","2001 THEURER BLVD","","5074545374","","","","","","","US","MN",410948415,"",NA,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 16:03:00.0",0,0,"fast",1,"","2010Q2"
"0001193125-10-094994",896262,"AMEDISYS INC",8082,"US","LA","BATON ROUGE","70816","5959 S SHERWOOD FOREST BLVD","","2252922031","US","LA","BATON ROUGE","70816","5959 S SHERWOOD FOREST BLVD","","US","DE",113131700,"ANALYTICAL NURSING MANAGEMENT CORP",19940819,"1-LAF",0,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 17:03:00.0",0,0,"amed",1,"","2010Q2"
"0001336047-10-000019",1336047,"BOARDWALK PIPELINE PARTNERS, LP",4922,"US","TX","HOUSTON","77046","9 GREENWAY PLAZA, SUITE 2800","","866-913-2122","US","TX","HOUSTON","77046","9 GREENWAY PLAZA, SUITE 2800","","US","DE",203265614,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100427,"2010-04-27 15:56:00.0",0,0,"bwp",1,"","2010Q2"
"0000874016-10-000034",874016,"JONES APPAREL GROUP INC",2330,"US","NY","NEW YORK","10018","1411 BROADWAY","","2126423860","US","NY","NEW YORK","10018","1411 BROADWAY","","US","PA",60935166,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 07:51:00.0",0,0,"jny",1,"","2010Q2"
"0000920148-10-000040",920148,"LABORATORY CORP OF AMERICA HOLDINGS",8071,"US","NC","BURLINGTON","27215","358 S MAIN ST","","3362291127","US","NC","BURLINGTON","27215","358 S MAIN ST","","US","DE",133757370,"NATIONAL HEALTH LABORATORIES HOLDINGS INC",19940314,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 16:43:00.0",0,0,"lh",1,"","2010Q2"
"0000950123-10-038994",315852,"RANGE RESOURCES CORP",1311,"US","TX","FT WORTH","76102","100 THROCKMORTON  STE. 1200","","817-870-2601","US","TX","FT WORTH","76102","100 THROCKMORTON  STE. 1200","","US","DE",341312571,"LOMAK PETROLEUM INC",19920703,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-27 18:43:00.0",0,0,"rrc",1,"","2010Q2"
"0000950123-10-039279",64040,"MCGRAW-HILL COMPANIES INC",2731,"US","NY","NEW YORK","10020","1221 AVENUE OF THE AMERICAS","","2125122000","US","NY","NEW YORK","10020","1221 AVENUE OF THE AMERICAS","","US","NY",131026995,"MCGRAW HILL INC",19920703,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 09:47:00.0",0,0,"mhp",1,"","2010Q2"
"0000950123-10-039323",1133421,"NORTHROP GRUMMAN CORP /DE/",3812,"US","CA","LOS ANGELES","90067","1840 CENTURY PK E","C/O NORTHROP GRUMMAN CORP","310-201-1630","US","CA","LOS ANGELES","90067","1840 CENTURY PARK EAST","C/O NORTHROP GRUMMAN CORP","US","DE",954840775,"NNG INC",20010129,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 10:51:00.0",0,0,"noc",1,"","2010Q2"
"0000950123-10-039508",89800,"SHERWIN WILLIAMS CO",5200,"US","OH","CLEVELAND","44115","101 PROSPECT AVE NW","","2165662200","","","","","","","US","OH",340526850,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 14:51:00.0",0,0,"shw",1,"","2010Q2"
"0000950123-10-039569",721083,"SMITH INTERNATIONAL INC",3533,"US","TX","HOUSTON","77032","16740 HARDY ST","P O BOX 60068","2814433370","US","TX","HOUSTON","77205","16740 HARDY ST","P O BOX 60068","US","DE",953822631,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 15:48:00.0",0,0,"sii",1,"","2010Q2"
"0000950123-10-039631",885721,"EXPRESS SCRIPTS INC",5912,"US","MO","ST LOUIS","63121","ONE EXPRESS WAY","","3149960900","US","MO","ST LOUIS","63121","ONE EXPRESS WAY","","US","DE",431420563,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100428,"2010-04-28 16:21:00.0",0,0,"esrx",1,"","2010Q2"
