"adsh","cik_id","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein_id","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","edgar_year"
"0000950123-10-029090",929887,"APOLLO GROUP INC",8200,"US","AZ","PHOENIX","85040","4615 EAST ELWOOD ST","","6029665394","US","AZ","PHOENIX","85040","4615 E ELWOOD STREET","","US","AZ",860419443,"",NA,"1-LAF",1,831,"10-Q",20100228,2010,"Q2",20100329,"2010-03-29 07:02:00.0",1,0,"apol",1,"","2010Q1"
"0001193125-10-070192",1341439,"ORACLE CORP",7372,"US","CA","REDWOOD CITY","94065","500 ORACLE PARKWAY","MAIL STOP 5 OP 7","6505067000","US","CA","REDWOOD CITY","94065","500 ORACLE PARKWAY","MAIL STOP 5 OP 7","","",542185193,"OZARK HOLDING INC.",20051013,"1-LAF",1,531,"10-Q",20100228,2010,"Q3",20100329,"2010-03-29 17:24:00.0",0,0,"orcl",1,"","2010Q1"
"0001193125-10-068386",39911,"GAP INC",5651,"US","CA","SAN FRANCISCO","94105","TWO FOLSOM STREET","","4159524400","US","CA","SAN FRANCISCO","94105","TWO FOLSOM STREET","","US","DE",941697231,"GAP STORES INC",19850617,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100326,"2010-03-26 14:23:00.0",0,0,"gps",1,"","2010Q1"
"0001193125-10-068566",1467373,"ACCENTURE PLC",7389,"IE","","DUBLIN","D2","1 GRAND CANAL SQUARE","GRAND CANAL HARBOUR","353-1-646-2000","IE","","DUBLIN","D2","1 GRAND CANAL SQUARE","GRAND CANAL HARBOUR","IE","",980627530,"",NA,"1-LAF",0,831,"10-Q",20100228,2010,"Q2",20100326,"2010-03-26 16:05:00.0",0,0,"acn",1,"","2010Q1"
"0001193125-10-068571",701985,"LIMITED BRANDS INC",5621,"US","OH","COLUMBUS","43216","THREE LIMITED PKWY","P O BOX 16000","6144157000","US","OH","COLUMBUS","43216","THREE LIMITED PARKWAY","P.O. BOX 16000","US","DE",311029810,"LIMITED INC",19920703,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100326,"2010-03-26 16:06:00.0",0,0,"ltd",1,"","2010Q1"
"0001193125-10-067178",354950,"HOME DEPOT INC",5211,"US","GA","ATLANTA","30339-4024","2455 PACES FERRY ROAD","","770-433-82","US","GA","ATLANTA","30339-4024","2455 PACES FERRY ROAD","","US","DE",953261426,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100325,"2010-03-25 16:39:00.0",0,0,"hd",1,"","2010Q1"
"0000950123-10-027743",40704,"GENERAL MILLS INC",2040,"US","MN","MINNEAPOLIS","55426","NUMBER ONE GENERAL MILLS BLVD","","(763) 764-7600","US","MN","MINNEAPOLIS","55440","P O BOX 1113","","US","DE",410274440,"",NA,"1-LAF",1,531,"10-Q",20100228,2010,"Q3",20100324,"2010-03-24 16:47:00.0",0,0,"gis",1,"","2010Q1"
"0000950123-10-027758",723531,"PAYCHEX INC",8700,"US","NY","ROCHESTER","14625-0397","911 PANORAMA TRAIL S","","7163856666","US","NY","ROCHESTER","14625-0397","911 PANORAMA TRAIL SOUTH","","US","DE",161124166,"",NA,"1-LAF",1,531,"10-Q",20100228,2010,"Q3",20100324,"2010-03-24 17:02:00.0",0,0,"payx",1,"","2010Q1"
"0000950123-10-026782",72333,"NORDSTROM INC",5651,"US","WA","SEATTLE","98101-4407","1700 SEVENTH AVENUE","SUITE 1300","2066282111","US","WA","SEATTLE","98111","PO BOX 1770","","US","WA",910515058,"NORDSTROM BEST INC",19730611,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100322,"2010-03-22 14:24:00.0",0,0,"jwn",1,"","2010Q1"
"0000950123-10-026283",1048911,"FEDEX CORP",4513,"US","TN","MEMPHIS","38120-","942 SOUTH SHADY GROVE ROAD","","9018187500","US","TN","MEMPHIS","38120-","942 SOUTH SHADY GROVE ROAD","","US","DE",621721435,"FDX CORP",19971103,"1-LAF",1,531,"10-Q",20100228,2010,"Q3",20100319,"2010-03-19 12:36:00.0",0,0,"fdx",1,"","2010Q1"
"0001193125-10-061070",769397,"AUTODESK INC",7372,"US","CA","SAN RAFAEL","94903","111 MCINNIS PKWY","","4155075000","US","CA","SAN RAFAEL","94903","111 MCINNIS PKWY","","US","DE",942819853,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100319,"2010-03-19 06:06:00.0",0,0,"adsk",1,"","2010Q1"
"0001193125-10-061795",885639,"KOHLS CORPORATION",5311,"US","WI","MENOMONEE FALLS","53051","N56 W17000 RIDGEWOOD DR","","4147835800","US","WI","MENOMONEE FALLS","53051","N54 W13600 WOODALE DR","","US","WI",391630919,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100319,"2010-03-19 16:00:00.0",0,0,"kss",1,"","2010Q1"
"0000950123-10-025907",866787,"AUTOZONE INC",5531,"US","TN","MEMPHIS","38103","123 SOUTH FRONT ST","","9014956500","US","TN","MEMPHIS","38101-2198","P O BOX 2198","DEPT 8074","US","NV",621482048,"",NA,"1-LAF",1,831,"10-Q",20100131,2010,"Q2",20100318,"2010-03-18 14:19:00.0",0,0,"azo",1,"","2010Q1"
"0000950123-10-025998",826083,"DELL INC",3571,"US","TX","ROUND ROCK","78682-2244","ONE DELL WAY","STED","5127284737","US","TX","ROUND ROCK","78682","ONE DELL WAY","","US","DE",742487834,"DELL COMPUTER CORP",19920703,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100318,"2010-03-18 16:26:00.0",0,0,"dell",1,"","2010Q1"
"0001045810-10-000006",1045810,"NVIDIA CORP",3674,"US","CA","SANTA CLARA","95050","2701 SAN TOMAS EXPRESSWAY","","408-486-2000","US","CA","SANTA CLARA","95050","2701 SAN TOMAS EXPRESSWAY","","US","DE",943177549,"NVIDIA CORP/DE",20020612,"1-LAF",1,1231,"10-K",20100131,2010,"FY",20100318,"2010-03-17 19:17:00.0",0,0,"nvda",1,"","2010Q1"
"0001193125-10-059399",909832,"COSTCO WHOLESALE CORP /NEW",5331,"US","WA","ISSAQUAH","98027-","999 LAKE DRIVE","","4253138100","US","WA","ISSAQUAH","98027","999 LAKE DRIVE","","US","WA",911223280,"COSTCO COMPANIES INC",19970401,"1-LAF",0,831,"10-Q",20100131,2010,"Q2",20100317,"2010-03-17 13:53:00.0",0,0,"cost",1,"","2010Q1"
"0001047469-10-002121",27419,"TARGET CORP",5331,"US","MN","MINNEAPOLIS","55403","1000 NICOLLET MALL","","6123046073","US","MN","MINNEAPOLIS","55403","1000 NICOLLET MALL","","US","MN",410215170,"DAYTON HUDSON CORP",19920703,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100312,"2010-03-12 12:11:00.0",1,0,"tgt",1,"","2010Q1"
"0001047469-10-002073",47217,"HEWLETT PACKARD CO",3570,"US","CA","PALO ALTO","94304","3000 HANOVER ST","MS 1050","6508571501","US","CA","PALO ALTO","94304","3000 HANOVER ST","MS 1050","US","DE",941081436,"",NA,"1-LAF",0,1031,"10-Q",20100131,2010,"Q1",20100311,"2010-03-11 16:16:00.0",0,0,"hpq",1,"","2010Q1"
"0001056358-10-000020",1056358,"MANNATECH INC",2833,"US","TX","COPPELL","75019","600 SOUTH ROYAL LANE","SUITE 200","9724717400","US","TX","COPPELL","75019","600 SOUTH ROYAL LANE","SUITE 200","US","TX",752508900,"",NA,"2-ACC",0,1231,"10-K",20091231,2009,"FY",20100311,"2010-03-11 13:49:00.0",0,0,"mtex",1,"","2010Q1"
"0001193125-10-052794",713676,"PNC FINANCIAL SERVICES GROUP INC",6021,"US","PA","PITTSBURGH","15222","ONE PNC PLAZA","249 FIFTH AVENUE","412-762-2000","US","PA","PITTSBURGH","15222","ONE PNC PLAZA","249 FIFTH AVENUE","US","PA",251435979,"PNC BANK CORP",19930505,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100311,"2010-03-10 17:38:00.0",0,0,"pnc",1,"","2010Q1"
"0001193125-10-053838",1108524,"SALESFORCE COM INC",7372,"US","CA","SAN FRANCISCO","94105","THE LANDMARK","ONE MARKET STREET STE.300","","US","CA","SAN FRANCISCO","94105","THE LANDMARK","ONE MARKET STREET STE. 300","US","DE",943320693,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100311,"2010-03-11 15:32:00.0",0,0,"crm",1,"","2010Q1"
"0000897101-10-000491",64670,"MEDTRONIC INC",3845,"US","MN","MINNEAPOLIS","55432","710 MEDTRONIC PKWY","MS LC300","7635144000","US","MN","MINNEAPOLIS","55432","710 MEDTRONIC PKWY","","US","MN",410793183,"",NA,"1-LAF",1,430,"10-Q",20100131,2010,"Q3",20100310,"2010-03-10 15:14:00.0",0,0,"mdt",1,"","2010Q1"
"0000950123-10-022850",16732,"CAMPBELL SOUP CO",2000,"US","NJ","CAMDEN","08103","CAMPBELL PL","","8563424800","US","NJ","CAMDEN","08103","CAMPBELL PL","","US","NJ",210419870,"",NA,"1-LAF",1,731,"10-Q",20100131,2010,"Q2",20100310,"2010-03-10 08:52:00.0",0,0,"cpb",1,"","2010Q1"
"0001104659-10-013535",1090872,"AGILENT TECHNOLOGIES INC",3825,"US","CA","SANTA CLARA","95051","5301 STEVENS CREEK BLVD","","408-345-8647","US","CA","SANTA CLARA","95052-8059","5301 STEVENS CREEK BLVD, MS 1A-LC","P.O. BOX 58059","US","DE",770518772,"HP MEASUREMENT INC",19990716,"1-LAF",1,1031,"10-Q",20100131,2010,"Q1",20100310,"2010-03-10 16:52:00.0",0,0,"a",1,"","2010Q1"
"0001193125-10-052571",866873,"DEL MONTE FOODS CO",2033,"US","CA","SAN FRANCISCO","94105","ONE MARKET @ THE LANDMARK","C/O DEL MONTE CORP","415-247-3000","US","CA","SAN FRANCISCO","94105","ONE MARKET @ THE LANDMARK","","US","DE",133542950,"DMPF HOLDINGS CORP",19600201,"1-LAF",0,430,"10-Q",20100131,2010,"Q3",20100310,"2010-03-10 15:46:00.0",0,0,"dlm",1,"","2010Q1"
"0001193125-10-052764",1364742,"BLACKROCK INC.",6211,"US","NY","NEW YORK","10055","55 EAST 52ND STREET","","212-810-5300","US","NY","NEW YORK","10055","55 EAST 52ND STREET","","US","DE",320174431,"BLACKROCK, INC.",20060929,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100310,"2010-03-10 17:26:00.0",0,0,"blk",1,"","2010Q1"
"0000950123-10-022556",6951,"APPLIED MATERIALS INC /DE",3674,"US","CA","SANTA CLARA","95054-3299","3050 BOWERS AVE","","4087275555","US","CA","SANTA CLARA","95054-3299","3050 BOWERS AVE","","US","DC",941655526,"APPLIED MATERIALS TECHNOLOGY INC",19730319,"1-LAF",1,1031,"10-Q",20100131,2010,"Q1",20100309,"2010-03-09 16:06:00.0",0,0,"amat",1,"","2010Q1"
"0000950123-10-022156",12659,"H&R BLOCK INC",7200,"US","MO","KANSAS CITY","64105","ONE H&R BLOCK WAY","","8168543000","US","MO","KANSAS CITY","64105","ONE H&R BLOCK WAY","","US","MO",440607856,"",NA,"1-LAF",0,430,"10-Q",20100131,2010,"Q3",20100308,"2010-03-08 17:27:00.0",0,0,"hrb",1,"","2010Q1"
"0000801898-10-000005",801898,"JOY GLOBAL INC",3532,"US","WI","MILWAUKEE","53201-0554","100 EAST WISCONSIN AVE SUITE 2780","","4144866400","US","WI","MILWAUKEE","53201-0554","100 EAST WISCONSIN AVE SUITE 2780","","US","DE",391566457,"HARNISCHFEGER INDUSTRIES INC",19920703,"1-LAF",1,1031,"10-Q",20100131,2010,"Q1",20100305,"2010-03-05 12:19:00.0",0,0,"joyg",1,"","2010Q1"
"0000950123-10-021539",25475,"CRAWFORD & CO",6411,"US","GA","ATLANTA","30319","1001SUMMIT BLVD, NE","","4042560830","US","GA","ATLANTA","30319","1001 SUMMIT BLVD, NE","","US","GA",580506554,"",NA,"2-ACC",0,1231,"10-K",20091231,2009,"FY",20100305,"2010-03-05 15:36:00.0",0,0,"crda",1,"","2010Q1"
"0001193125-10-047979",1345111,"TIM HORTONS INC.",5812,"CA","ON","OAKVILLE","L6K 2Y1","874 SINCLAIR ROAD","","(905) 845-6511","CA","ON","OAKVILLE","L6K 2Y1","874 SINCLAIR ROAD","","CA","ON",510370507,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100304,"2010-03-04 16:55:00.0",0,0,"thi",1,"","2010Q1"
"0000950123-10-020525",103379,"V F CORP",2320,"US","NC","GREENSBORO","27408","105 CORPORATE CENTER BOULEVARD","","(336)424-6000","US","NC","GREENSBORO","27420","P. O. BOX 21488","","US","PA",231180120,"VF CORPORATION",19900621,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100303,"2010-03-03 15:54:00.0",0,0,"vfc",1,"","2010Q1"
"0000897101-10-000409",203077,"ST JUDE MEDICAL INC",3845,"US","MN","ST PAUL","55117","ONE ST JUDE MEDICAL DRIVE","","6517562000","US","MN","ST PAUL","55117","ONE ST JUDE MEDICAL DRIVE","","US","MN",411276891,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100302,"2010-03-02 16:39:00.0",0,0,"stj",1,"","2010Q1"
"0000950123-10-019786",13610,"BOWNE & CO INC",2750,"US","NY","NEW YORK","10041-0006","55 WATER STREET","","2129245500","US","NY","NEW YORK","10041-0006","55 WATER STREET","","US","DE",132618477,"",NA,"2-ACC",0,1231,"10-K",20091231,2009,"FY",20100302,"2010-03-02 09:58:00.0",0,0,"bne",1,"","2010Q1"
"0001014739-10-000004",1014739,"BIOSCRIP, INC.",5912,"US","NY","ELMSFORD","10523","100 CLEARBROOK ROAD","","914 460 1600","US","NY","ELMSFORD","10523","100 CLEARBROOK ROAD","","US","DE",50489664,"MIM CORP",19960516,"2-ACC",1,1231,"10-K",20091231,2009,"FY",20100302,"2010-03-02 12:32:00.0",0,0,"bios",1,"","2010Q1"
"0001047469-10-001695",791519,"STAPLES INC",5940,"US","MA","FRAMINGHAM","01702","500 STAPLES DRIVE","P O BOX 9328","5082535000","US","MA","FRAMINGHAM","01702","500 STAPLES DR","","US","DE",42896127,"",NA,"1-LAF",1,131,"10-K",20100131,2009,"FY",20100302,"2010-03-02 06:29:00.0",0,0,"spls",1,"","2010Q1"
"0001193125-10-045994",86144,"SAFEWAY INC",5411,"US","CA","PLEASANTON","94588","5918 STONERIDGE MALL RD","","9254673000","US","CA","PLEASANTON","94588","5918 STONERIDGE MALL ROAD","","US","DE",943019135,"SAFEWAY STORES INC",19900226,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100302,"2010-03-02 16:49:00.0",0,0,"swy",1,"","2010Q1"
"0000037748-10-000014",37748,"MASSEY ENERGY CO",1221,"US","VA","RICHMOND","23219","4 NORTH 4TH STREET","","9493492000","US","VA","RICHMOND","23219","4 NORTH 4TH STREET","","US","DE",950740960,"FLUOR CORP/DE/",19920703,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 16:06:00.0",0,0,"mee",1,"","2010Q1"
"0000085408-10-000006",85408,"ROWAN COMPANIES INC",1381,"US","TX","HOUSTON","77056-6127","2800 POST OAK BLVD.","SUITE 5450","7136217800","US","TX","HOUSTON","77056-6127","2800 POST OAK BOULEVARD","SUITE 5450","US","DE",750759420,"ROWAN DRILLING CO INC",19711110,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 17:28:00.0",0,0,"rdc",1,"","2010Q1"
"0000751652-10-000006",751652,"QUESTAR CORP",1311,"US","UT","SALT LAKE CITY","84145","180 EAST 100 SOUTH ST","PO BOX 45433","8015345000","US","UT","SALT LAKE CITY","84145","180 EAST 100 SOUTH ST","P O BOX 45433","US","UT",870407509,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-02-26 21:45:00.0",0,0,"str",1,"","2010Q1"
"0000950123-10-018464",886982,"GOLDMAN SACHS GROUP INC",6211,"US","NY","NEW YORK","10004","85 BROAD ST","","2129021000","US","NY","NEW YORK","10004","85 BROAD ST","","US","DE",134019460,"GOLDMAN SACHS GROUP INC/",20010104,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-02-26 18:20:00.0",0,0,"gs",1,"","2010Q1"
"0000950123-10-018519",216228,"ITT CORP",3561,"US","NY","WHITE PLAINS","10604","1133 WESTCHESTER AVENUE","","9146412000","US","NY","WHITE PLAINS","10604","1133 WESTCHESTER AVENUE","","US","IN",135158950,"ITT INDUSTRIES INC",19951220,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-02-26 20:23:00.0",0,0,"itt",1,"","2010Q1"
"0000950123-10-018524",1368007,"NYSE EURONEXT",6200,"US","NY","NEW YORK","10005","11 WALL STREET","","212-656-3000","US","NY","NEW YORK","10005","11 WALL STREET","","US","DE",205110848,"NYSE EURONEXT, INC.",20060628,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-02-26 20:30:00.0",0,0,"nyx",1,"","2010Q1"
"0000950123-10-018671",1001082,"DISH NETWORK CORP",4841,"US","CO","ENGLEWOOD","80112","9601 S. MERIDIAN BLVD.","","3037231000","US","CO","ENGLEWOOD","80112","9601 S. MERIDIAN BLVD.","","US","NV",880336997,"ECHOSTAR COMMUNICATIONS CORP",19950919,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 07:12:00.0",0,0,"dish",1,"","2010Q1"
"0000950123-10-018789",91576,"KEYCORP /NEW/",6021,"US","OH","CLEVELAND","44114-1306","127 PUBLIC SQ","","2166896300","US","OH","CLEVELAND","44114-1306","127 PUBLIC SQ","","US","OH",346542451,"SOCIETY CORP",19920703,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 08:45:00.0",0,0,"key",1,"","2010Q1"
"0000950123-10-019013",915912,"AVALONBAY COMMUNITIES INC",6798,"US","VA","ALEXANDRIA","22314","2900 EISENHOWER AVENUE","SUITE 300","7033296300","US","VA","ALEXANDRIA","22314","2900 EISENHOWER AVENUE","STE 300","US","MD",770404318,"AVALON BAY COMMUNITIES INC",19980618,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 12:03:00.0",0,0,"avb",1,"","2010Q1"
"0000950123-10-019101",896878,"INTUIT INC",7372,"US","CA","MOUNTAIN VIEW","94043","2700 COAST AVENUE","","650-944-6000","US","CA","MOUNTAIN VIEW","94039-7850","P.O. BOX 7850","","US","DE",770034661,"",NA,"1-LAF",1,731,"10-Q",20100131,2010,"Q2",20100301,"2010-03-01 13:21:00.0",0,0,"intu",1,"","2010Q1"
"0000950123-10-019173",1301063,"ALPHA NATURAL RESOURCES, INC.",1221,"US","VA","ABINGDON","24212","ONE ALPHA PLACE","P.O. BOX 2345","276-619-4410","US","VA","ABINGDON","24212","ONE ALPHA PLACE","P.O. BOX 2345","US","DE",421638663,"FOUNDATION COAL HOLDINGS, INC.",20040819,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 14:37:00.0",0,0,"anr",1,"","2010Q1"
"0000950123-10-019204",1050915,"QUANTA SERVICES INC",1731,"US","TX","HOUSTON","77056","1360 POST OAK BLVD","SUITE 2100","7133506000","US","TX","HOUSTON","77056","1360 POST OAK BLVD SUITE 2100","","US","DE",742851603,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 15:03:00.0",0,0,"pwr",1,"","2010Q1"
"0000950123-10-019211",721083,"SMITH INTERNATIONAL INC",3533,"US","TX","HOUSTON","77032","16740 HARDY ST","P O BOX 60068","2814433370","US","TX","HOUSTON","77205","16740 HARDY ST","P O BOX 60068","US","DE",953822631,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 15:10:00.0",0,0,"sii",1,"","2010Q1"
"0000950123-10-019343",1037676,"ARCH COAL INC",1221,"US","MO","ST LOUIS","63141","CITY PLACE ONE STE 300","ARCH MINERAL CORP","3149942700","US","MO","CREVE COEUR","63141","CITYPLACE ONE SUITE 300","ARCH MINERAL CORP","US","DE",430921172,"ARCH MINERAL CORP",19970411,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 16:36:00.0",0,0,"aci",1,"","2010Q1"
"0000950123-10-019392",200406,"JOHNSON & JOHNSON",2834,"US","NJ","NEW BRUNSWICK","08933","ONE JOHNSON & JOHNSON PLZ","","732-524-2455","US","NJ","NEW BRUNSWICK","08933","ONE JOHNSON & JOHNSON PLZ","","US","NJ",221024240,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 16:50:00.0",0,0,"jnj",1,"","2010Q1"
"0000950123-10-019484",1066107,"EL PASO CORP/DE",4922,"US","TX","HOUSTON","77002","1001 LOUISIANA ST, SUITE 2955A","EL PASO BLDG","7134202600","US","TX","HOUSTON","77002","1001 LOUISIANA ST","SUITE 2955A","US","DE",760568816,"EL PASO ENERGY CORP/DE",19980716,"1-LAF",0,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 17:24:00.0",0,0,"ep",1,"","2010Q1"
"0000950123-10-019490",945764,"DENBURY RESOURCES INC",1311,"US","TX","PLANO","75024","5100 TENNYSON PARKWAY","SUITE 3000","9726732000","US","TX","PLANO","75024","5100 TENNYSON PARKWAY","SUITE 3000","US","DE",752815171,"NEWSCOPE RESOURCES LTD",19950627,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 17:25:00.0",0,0,"dnr",1,"","2010Q1"
"0001047469-10-001573",38079,"FOREST OIL CORP",1311,"US","CO","DENVER","80202","707 SEVENTEENTH STREET","SUITE 3600","3038121400","US","CO","DENVER","80202","707 SEVENTEENTH STREET","SUITE 3600","US","NY",250484900,"FOREST OIL CORP",20040819,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-02-26 19:47:00.0",0,0,"fst",1,"","2010Q1"
"0001047469-10-001574",732485,"GENZYME CORP",2836,"US","MA","CAMBRIDGE","02139","ONE KENDALL SQ","","6172527500","US","MA","CAMBRIDGE","02139","ONE KENDALL SQUARE","","US","MA",61047163,"",NA,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-02-26 19:48:00.0",0,0,"genz",1,"","2010Q1"
"0001047469-10-001604",827052,"EDISON INTERNATIONAL",4911,"US","CA","ROSEMEAD","91770","2244 WALNUT GROVE AVE, STE 369","P O BOX 800","(626) 302-2222","US","CA","ROSEMEAD","91770","2244 WALNUT GROVE AVE, STE 369","P O BOX 800","US","CA",954137452,"SCECORP",19920703,"1-LAF",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 09:06:00.0",0,0,"eix",1,"","2010Q1"
"0001047469-10-001605",92103,"SOUTHERN CALIFORNIA EDISON CO",4911,"US","CA","ROSEMEAD","91770","2244 WALNUT GROVE AVE","P O BOX 800","6263021212","US","CA","ROSEMEAD","91770","2244 WALNUT GROVE AVE","","US","CA",951240335,"",NA,"4-NON",1,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 09:09:00.0",0,0,"sce",1,"","2010Q1"
"0001047469-10-001607",930835,"EDISON MISSION ENERGY",4911,"US","CA","IRVINE","92612","18101 VON KARMAN AVE","STE 1700","9497525588","US","CA","IRVINE","92612","18101 VON KARMAN AVE","STE 1700","US","DE",954031807,"MISSION ENERGY CO",19941003,"4-NON",0,1231,"10-K",20091231,2009,"FY",20100301,"2010-03-01 09:17:00.0",0,0,"eme",1,"","2010Q1"
